"variable","Estimate","Std..Error","z.value","Pr...z.."
"PAR_ASC",-5.64464567622997,1.51946538278698,-3.71488928946619,0.000203292680180187
"PAR_ASC_V",-0.754164801081798,0.345642729594562,-2.18192004780899,0.0291154339701895
"PAR_ASS",-4.1976792510193,1.68339715017862,-2.49357630822525,0.012646339813378
"PAR_ASS_V",16.6743698430258,3.05215075430767,5.46315407896952,4.67748270900354e-08
"PAR_SFM1",-6.71297173104341,6.17528165170139,-1.08707134502827,0.277005280527827
"PAR_SFM2",-154.164461038608,166.623409378489,-0.925226903072304,0.354847892163825
"PAR_SFM3",-45.8497340522759,9.42248818980043,-4.86599007912866,1.13885230482427e-06
"PAR_SFM4",2.04581395509741,8.94234583280712,0.228778219199693,0.819041296418393
"PAR_SFM5",-17.9564026855364,13.2962599110349,-1.35048523462104,0.176860386763264
"PAR_SFM6",-39.655505358143,17.2802426559322,-2.29484655671369,0.0217419194714683
"PAR_SFM7",-38.5692062979882,24.782038283569,-1.55633712839353,0.119627946990293
"PAR_SFM8",0.26362235483754,31.8727499352838,0.00827108910818215,0.993400700943657
"PAR_SFM9",11.4667644496394,17.1103375559848,0.670165881422285,0.502752050927444
"PAR_SFM10",74.0275013053182,22.6475836720161,3.26867105901405,0.00108053840273632
"PAR_SFM11",65.2543494576642,31.7469849337912,2.05545029216958,0.0398355321444485
"PAR_SFM12",-54.8437073384079,37.8214835430601,-1.45006758595199,0.147039673047647
"PAR_SFM13",7.56839388712611,16.2296329553049,0.466331796163774,0.640978022755972
"PAR_SFM14",-104.98038112246,22.9195673737018,-4.58038231746539,4.64126716990972e-06
"PAR_SFM15",-23.369848662106,25.1224081577799,-0.930239191853462,0.352247254029557
"PAR_SFM16",218.653956721852,32.3424440697193,6.76058853964495,1.37432312102988e-11
"PAR_SFM17",16.8617256903743,16.3610478193708,1.03060182187175,0.30272758138342
"PAR_SFM18",27.7693321477866,22.3952454315803,1.23996552003079,0.214988147685316
"PAR_SFM19",-83.9926477824584,33.6350967119018,-2.49717277467311,0.0125187945238594
"PAR_SFM20",-93.3087239154157,34.5150348524229,-2.70342256104851,0.00686294374942719
"PAR_SFM21",5.25992494733612,21.1058499697908,0.249216447329283,0.803193357596404
"PAR_SFM22",97.6519236100049,21.832902728945,4.47269540025673,7.72397647125085e-06
"PAR_SFM23",-32.7266709060575,22.4029531575856,-1.4608195033866,0.144064982003635
"PAR_SFM24",-3261.29993921922,816.832911134354,-3.9926157415599,6.53484183650074e-05
"PAR_SFMV1",-261.00593247203,134.652991592253,-1.9383597006325,0.0525793534421316
"PAR_SFMV2",-35340.617840596,133138.538398048,-0.265442435119252,0.790668649706655
"PAR_SFMV3",614.991186367114,305.078171298912,2.01584788498208,0.0438158845662575
"PAR_SFMV4",427.009436865417,333.43811069622,1.28062576882355,0.200325144360709
"PAR_SFMV5",-879.056103329186,673.00569771104,-1.30616442969048,0.191496646281182
"PAR_SFMV6",1064.52745414656,926.363621931778,1.14914643552891,0.250495603598007
"PAR_SFMV7",340.962893087465,1548.13158301452,0.220241545892077,0.825683041946998
"PAR_SFMV8",493.777706874172,2431.18498453905,0.203101660307346,0.839055574038435
"PAR_SFMV9",904.223821128802,756.163009361434,1.19580541488323,0.231772502346356
"PAR_SFMV10",692.8212263908,1100.54983586512,0.629522811064879,0.529006839627563
"PAR_SFMV11",2509.88103832875,1794.27980546611,1.39882365653485,0.161865870463658
"PAR_SFMV12",2258.29965483054,2651.2777112229,0.851777859886619,0.394337396886228
"PAR_SFMV13",1523.29184889643,588.813106098414,2.58705492985719,0.00968001593695579
